http.response	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.nxtseq	tcp.ack	http.host	http.request.uri	http.request.method	http.content_type	http.content_length	http.cookie	http.referer	http.user_agent	http.response.code	http.date
	"192.168.81.138"	"101.72.199.36"	"60366"	"80"	"1301"	"1"	"t12.baidu.com"	"/it/u=2553046796,3686556273&fm=55&app=54&f=JPEG?w=1140&h=640"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60369"	"80"	"1301"	"1"	"t12.baidu.com"	"/it/u=1361969331,2159143591&fm=55&app=54&f=JPEG?w=1140&h=640"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60370"	"80"	"1300"	"1"	"t10.baidu.com"	"/it/u=3657507089,1797345081&fm=55&app=54&f=JPEG?w=300&h=200"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60375"	"80"	"1300"	"1"	"t11.baidu.com"	"/it/u=3316941065,1606087054&fm=55&app=54&f=JPEG?w=300&h=200"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60367"	"80"	"1301"	"1"	"t12.baidu.com"	"/it/u=2940717599,1438216936&fm=55&app=54&f=JPEG?w=1140&h=640"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60376"	"80"	"1301"	"1"	"t12.baidu.com"	"/it/u=3613484802,2486610731&fm=55&app=54&f=JPEG?w=1140&h=640"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60377"	"80"	"1300"	"1"	"t12.baidu.com"	"/it/u=3763206643,2738730987&fm=55&app=54&f=JPEG?w=300&h=200"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60372"	"80"	"1301"	"1"	"t11.baidu.com"	"/it/u=3272384039,2325783800&fm=55&app=54&f=JPEG?w=1140&h=640"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60380"	"80"	"1301"	"1"	"t10.baidu.com"	"/it/u=1821010468,3982749903&fm=55&app=54&f=JPEG?w=1140&h=640"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
	"192.168.81.138"	"101.72.199.36"	"60386"	"80"	"1299"	"1"	"t11.baidu.com"	"/it/u=4165426752,835131813&fm=55&app=54&f=JPEG?w=300&h=200"	"GET"			"BAIDUID=D829DFA956E24DF54B0755B0D118AEEA:FG=1; BIDUPSID=D829DFA956E24DF54B0755B0D118AEEA; PSTM=1628761294; BA_HECTOR=ak21042gag250la4131gk8m5n0r; H_PS_PSSID=; BDORZ=B490B5EBF6F3CD402E515D22BCDA1598; BDRCVFR[PGnakqNNAQT]=mk3SLVN4HKm; delPer=0; PSINO=2; BCLID=10719698241046157300; BDSFRCVID=huCOJeC62mN7U96HObTAbC1JAeHLxOTTH6aoHwlU8Fn5FYPRXg5NEG0P8M8g0KubwqBlogKK0mOTHv-F_2uxOjjg8UtVJeC6EG0Ptf8g0f5; H_BDCLCKID_SF=tb4JoD0MfCL3DbjkMboHKbOH-UnLq-vt02OZ0l8KtJ6FMUKwjx7c-l0F-4-DBfo-WgJO2MbmWIQHDpn6hh_WQ460QRrTQqvMJmo4KKJxfpCWeIJo5t5bKfDjhUJiB5OLBan7Lj6IXKohJh7FM4tW3J0ZyxomtfQxtNRJ0DnjtnLhbRO4-TFKj5c3eM5; BDRCVFR[En8y-vz8WAT]=9xWipS8B-FspA7EnHc1QhPEUf"	"https://www.baidu.com/s?tn=54093922_10_hao_pg&ie=utf-8&sc=UWYdPj04n1bzn-tkn7qCmyqxTAThIjYkPWnkrjTsnHD1rHc4FhnqpA7EnHc1Fh7W5HDzPjb3rHTLPWR&ssl_sample=normal&srcqid=5654503441485922497&H123Tmp=nunew7&word=%E7%A5%9E%E8%88%9F%E5%8D%81%E4%BA%8C%E5%8F%B7%E8%BF%94%E5%9B%9E%E8%88%B1%E6%88%90%E5%8A%9F%E7%9D%80%E9%99%86"	"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"		
