frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"86","0.451645000","192.168.183.2","192.168.183.133","53","51375","370","0x00007d53","1","0","api.246d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"F44FsGZs7t+uldQG7oWe1eyYuo9B6Lq8a/5JY5emQWeWivNRGlqZJVy5h6k037mrwT55YI5UN5lGeZIHtS7rvkIkXRwvCbIpjx9Nmmg02InB+NOsPxt6hbJplemGdfJB9uSHF/KIbQ93kUF5UoyxM00YMIpyOxROAH8JylAP13CdG1nxyK3GZhWMpzWTxLf5EDZn4mn94/7WFQF7m/Yxh1AW0f6hEbwbnK74goC5G2P0JnhXizafmrcQSY4K","252","0"
"87","0.001143000","192.168.183.133","192.168.183.2","63289","53","105","0x00004419","0","0","api.256d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"88","0.076034000","192.168.183.2","192.168.183.133","53","63289","370","0x00004419","1","0","api.256d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"UMuHDSPvBxe2aAv3GRy/VXgphwd1q+P46RwuC37+fsIc7BTMhWEbc9fFAmimAWfpPPURImIMUD3ACTy1xRXEvdIxjdQrsg3ZHVFfYo/2NErhQvSDJOLh8ulk6PDAdHnIRB/HqqT20XnIj7ucjV7+bhovsbeZiIqNkbDZEqYrLS6UgNkpNeb/BY/0/E0EQgdqB6u/Ast8Vspj521cA7ELmVkla3gruT1/aWX66r02HaP66dkREi5FfHx4Itky","252","0"
"89","0.000933000","192.168.183.133","192.168.183.2","64731","53","105","0x0000536c","0","0","api.266d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"90","0.057184000","192.168.183.2","192.168.183.133","53","64731","370","0x0000536c","1","0","api.266d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"BOIFwmkEiutIj7yQKPf60baD45ees+dYppvJNRoMJsMF8Tt0bWewzzXiWwxwwE9pI7Oldo6OFJxADsNFhHZzzWccxq3l25vk6Kp2Bk3SVy6JQ7p1HuANULoUqeeqcQyz0sfQ2x81rRjd+t/62bf0Xy5PU8astB9vIe9iA1cbrokk/Gk6reVR/ImP1lHr48NmPd5HOVt0qzNWd4Z7fLpH5KlAzYg8ucvRpq7P0fxaTJeYaVhYLwO3yJjDZnU8","252","0"
"91","0.000755000","192.168.183.133","192.168.183.2","58255","53","105","0x0000aa23","0","0","api.276d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"92","0.050450000","192.168.183.2","192.168.183.133","53","58255","370","0x0000aa23","1","0","api.276d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"pss4PPgTnceJqLIk/F6kJZW4HPG6ZU/9Cnd5B/2U87TYzoksD2qOpkFvfr1FGqVcF1db2h5N6E3uQU/9EpFQSskVxTZFWF2nnSpfvRbKqqtg/6FEq58GlOGtk6Cm4dWbA3sKhFNbJzEiY7wNxwXst0vSHtusg1z901rX0xusUcIlJC0cnoyLcUjYlqRIGSvLz6Ust3wZgUxSmIrf1L+wjn4B9wsM4VhRr+ruCEgqZwTaiifR85+Cj5X0zFU9","252","0"
"93","0.000861000","192.168.183.133","192.168.183.2","52141","53","105","0x00007d0e","0","0","api.286d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"94","0.053543000","192.168.183.2","192.168.183.133","53","52141","370","0x00007d0e","1","0","api.286d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"/0YmHoE+vGebaRZVYYdDDd9WtaX6WsRllrr4ThofDEPskWXfqydacQkFIAqO98McNjQjT9/wXfJ0RM30VoKPKxakZwdrZlc25YX4aTa0MMoMSjep2w0QcgmId4Pa5eyFT1QMXsg9sk0stCXDrF8vhwx20uXGU96u8FkocjSh1ygbzjK5io4oRfG9hiGGcwWynM668xMHnOm2QtNM0JNEn1afbbR9JfJJkpUCI5mX9q/lN99UzE3OIoklujPE","252","0"
"95","0.000925000","192.168.183.133","192.168.183.2","54466","53","105","0x0000ecf7","0","0","api.296d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
