frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"33","0.000970000","192.168.183.133","192.168.183.2","52815","53","277","0x00003888","0","0","post.352a3199716b65554f0be9c24b834402c46edbe2ec9d4aec2231a9544.d2a752eb97b7214945260550e737eb7be5e661e4a194480fc0ed5b38.73a815ad4627ffba4c4fb43ed6c075ebc20b05abf0c2b149b9bfdd60.113c66e8a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"34","0.150740000","192.168.183.2","192.168.183.133","53","52815","293","0x00003888","1","0","post.352a3199716b65554f0be9c24b834402c46edbe2ec9d4aec2231a9544.d2a752eb97b7214945260550e737eb7be5e661e4a194480fc0ed5b38.73a815ad4627ffba4c4fb43ed6c075ebc20b05abf0c2b149b9bfdd60.113c66e8a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"35","0.001241000","192.168.183.133","192.168.183.2","61811","53","277","0x0000c350","0","0","post.338cf415dee65ce5e77920c7d9aaf2bf4fb4d4588f5617086124b565b.4085d5a393215bfa0175c315f7c82ab45ef355c48fc13fc2e39c7181.f9bf012262271a2976ab579cfbf63568575d32d41d717e51a0e898f7.213c66e8a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"36","0.061552000","192.168.183.2","192.168.183.133","53","61811","293","0x0000c350","1","0","post.338cf415dee65ce5e77920c7d9aaf2bf4fb4d4588f5617086124b565b.4085d5a393215bfa0175c315f7c82ab45ef355c48fc13fc2e39c7181.f9bf012262271a2976ab579cfbf63568575d32d41d717e51a0e898f7.213c66e8a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"37","0.001105000","192.168.183.133","192.168.183.2","57629","53","277","0x00005d8a","0","0","post.3f9d9b2ad6d96879c24aab92bd7a21cdf0db5dde4b3d3d41fe1728b60.1d77a2c45899f2ce59b5588541308f2db8b6462ff7608db93a8b76b0.ff030e21f3493701ee3ea4c3b3f3a606fc0083c8c3e356248af51815.313c66e8a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"38","0.152126000","192.168.183.2","192.168.183.133","53","57629","293","0x00005d8a","1","0","post.3f9d9b2ad6d96879c24aab92bd7a21cdf0db5dde4b3d3d41fe1728b60.1d77a2c45899f2ce59b5588541308f2db8b6462ff7608db93a8b76b0.ff030e21f3493701ee3ea4c3b3f3a606fc0083c8c3e356248af51815.313c66e8a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"39","0.001095000","192.168.183.133","192.168.183.2","55872","53","277","0x00001d2e","0","0","post.31c913aed81e2e44ccfb0d3ba8c0999f53b965f7e973f2e3bc777d6e1.6d56eb97db70a1ac67f0e68b724249ca3a84fd5977f9d61f0ca647ae.acb168b28383156b73cc705f66a09215eead89e2acaac80ab8def5dc.413c66e8a.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"40","0.058647000","192.168.183.2","192.168.183.133","53","55872","293","0x00001d2e","1","0","post.31c913aed81e2e44ccfb0d3ba8c0999f53b965f7e973f2e3bc777d6e1.6d56eb97db70a1ac67f0e68b724249ca3a84fd5977f9d61f0ca647ae.acb168b28383156b73cc705f66a09215eead89e2acaac80ab8def5dc.413c66e8a.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"41","0.001591000","192.168.183.133","192.168.183.2","60651","53","109","0x0000cdae","0","0","post.130.05ce923bb.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"42","0.050355000","192.168.183.2","192.168.183.133","53","60651","125","0x0000cdae","1","0","post.130.05ce923bb.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"43","0.001022000","192.168.183.133","192.168.183.2","49541","53","204","0x0000e3ef","0","0","post.2444513ee25a64356b09797c7e4e3185010d39aecee812f2a.dbe277f7e32045e64b290c41f6f5eaa4bb886efcc0faa51e.15ce923bb.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"44","0.136000000","192.168.183.2","192.168.183.133","53","49541","220","0x0000e3ef","1","0","post.2444513ee25a64356b09797c7e4e3185010d39aecee812f2a.dbe277f7e32045e64b290c41f6f5eaa4bb886efcc0faa51e.15ce923bb.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"45","10.012264000","192.168.183.133","192.168.183.2","62226","53","90","0x0000d1fa","0","0","782f55f2.ns1.ssltestdomain.xyz","1",,,,
"46","0.011501000","192.168.183.2","192.168.183.133","53","62226","106","0x0000d1fa","1","0","782f55f2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"47","10.025870000","192.168.183.133","192.168.183.2","50670","53","90","0x00004382","0","0","782f55f2.ns2.ssltestdomain.xyz","1",,,,
"48","0.002416000","192.168.183.2","192.168.183.133","53","50670","106","0x00004382","1","0","782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.131",,,"0"
"49","0.001002000","192.168.183.133","192.168.183.2","52230","53","104","0x0000f7a6","0","0","api.02fa56834.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"50","0.055900000","192.168.183.2","192.168.183.133","53","52230","120","0x0000f7a6","1","0","api.02fa56834.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.33",,,"0"
"51","0.001064000","192.168.183.133","192.168.183.2","56609","53","104","0x00001697","0","0","api.12fa56834.782f55f2.ns2.ssltestdomain.xyz","16",,,,
"52","0.358001000","192.168.183.2","192.168.183.133","53","56609","225","0x00001697","1","0","api.12fa56834.782f55f2.ns2.ssltestdomain.xyz","16",,"9gKAs0LKBBhuozleU4MxDW4bx+3pRRHyvOfp81ZBvMJu7FlqjoWM6snt/XsbzzeBh/kgPcCp2NwOehsEeTq28n1fuTBbGKU0t6RRvHEBRpo=","108","0"
"53","0.005989000","192.168.183.133","192.168.183.2","58456","53","110","0x0000490c","0","0","post.1220.0714e26a0.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"54","0.051532000","192.168.183.2","192.168.183.133","53","58456","126","0x0000490c","1","0","post.1220.0714e26a0.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"55","0.000943000","192.168.183.133","192.168.183.2","52226","53","277","0x00008dea","0","0","post.37a9622e19a2ae2a0b90196fcc98297f92ab9c76dee3970f650977b4d.d26b49262330d5a2cea966565851b92c77e5e12ef0245c14db3cb7c5.98cc1a9e364ab658c8d32e83d0c1efca4a0c54f22571246e2cc8619c.1714e26a0.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"56","0.049467000","192.168.183.2","192.168.183.133","53","52226","293","0x00008dea","1","0","post.37a9622e19a2ae2a0b90196fcc98297f92ab9c76dee3970f650977b4d.d26b49262330d5a2cea966565851b92c77e5e12ef0245c14db3cb7c5.98cc1a9e364ab658c8d32e83d0c1efca4a0c54f22571246e2cc8619c.1714e26a0.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"57","0.000939000","192.168.183.133","192.168.183.2","61425","53","277","0x0000d40b","0","0","post.37ecab6a507783f89595f65608806d4534f59d25c618a9642e31d1834.bc6a66fc984bf1354f74f59a09a2ed62dbc21153146a019d57fcd208.0c46dc63bd51ae44466ad934d74a285aa5c837c83e1afc5b70e15c2a.2714e26a0.782f55f2.ns2.ssltestdomain.xyz","1",,,,
"58","0.199803000","192.168.183.2","192.168.183.133","53","61425","293","0x0000d40b","1","0","post.37ecab6a507783f89595f65608806d4534f59d25c618a9642e31d1834.bc6a66fc984bf1354f74f59a09a2ed62dbc21153146a019d57fcd208.0c46dc63bd51ae44466ad934d74a285aa5c837c83e1afc5b70e15c2a.2714e26a0.782f55f2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
