frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"1","0.000000000","192.168.183.2","192.168.183.133","53","49922","130","0x0000819b","1","0","www.1a58deb48.34a5114c4.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"2","0.001348000","192.168.183.133","192.168.183.2","57211","53","103","0x0000b9a7","0","0","api.0c3a7116.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"3","0.540369000","192.168.183.2","192.168.183.133","53","57211","119","0x0000b9a7","1","0","api.0c3a7116.2f195fb2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"4","10.013999000","192.168.183.133","192.168.183.2","55104","53","90","0x0000f1ab","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"5","0.001600000","192.168.183.2","192.168.183.133","53","55104","106","0x0000f1ab","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"6","10.012005000","192.168.183.133","192.168.183.2","55120","53","90","0x0000e3c5","0","0","2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"7","0.002272000","192.168.183.2","192.168.183.133","53","55120","106","0x0000e3c5","1","0","2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.130",,,"0"
"8","0.001106000","192.168.183.133","192.168.183.2","55690","53","108","0x0000de5a","0","0","www.180.031b46f78.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"9","0.213892000","192.168.183.2","192.168.183.133","53","55690","124","0x0000de5a","1","0","www.180.031b46f78.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"10","0.001490000","192.168.183.133","192.168.183.2","59837","53","276","0x000094ba","0","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.131b46f78.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"11","0.531113000","192.168.183.2","192.168.183.133","53","59837","292","0x000094ba","1","0","www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.131b46f78.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"12","0.000987000","192.168.183.133","192.168.183.2","61595","53","187","0x00000a39","0","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.231b46f78.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"13","0.052106000","192.168.183.2","192.168.183.133","53","61595","203","0x00000a39","1","0","www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.231b46f78.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"14","0.001137000","192.168.183.133","192.168.183.2","59418","53","114","0x0000dd02","0","0","www.1a58deb48.331b46f78.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"15","0.057812000","192.168.183.2","192.168.183.133","53","59418","130","0x0000dd02","1","0","www.1a58deb48.331b46f78.2f195fb2.ns1.ssltestdomain.xyz","1","74.125.196.113",,,"0"
"16","0.001131000","192.168.183.133","192.168.183.2","62206","53","103","0x0000d904","0","0","api.0fc958ab.2f195fb2.ns1.ssltestdomain.xyz","1",,,,
"17","0.065008000","192.168.183.2","192.168.183.133","53","62206","119","0x0000d904","1","0","api.0fc958ab.2f195fb2.ns1.ssltestdomain.xyz","1","0.0.0.0",,,"0"
"18","10.012169000","192.168.183.133","192.168.183.2","52979","53","90","0x0000f2c2","0","0","2f195fb2.ns2.ssltestdomain.xyz","1",,,,
"19","0.056433000","192.168.183.2","192.168.183.133","53","52979","106","0x0000f2c2","1","0","2f195fb2.ns2.ssltestdomain.xyz","1","74.125.196.113",,,"0"
