frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.0,192.168.183.133,192.168.183.2,52000,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.014369,192.168.183.133,192.168.183.2,64359,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.008892,192.168.183.133,192.168.183.2,53194,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.01402,192.168.183.133,192.168.183.2,54723,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.001616,192.168.183.133,192.168.183.2,64346,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
4.999263,192.168.183.133,192.168.183.2,59098,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.01668,192.168.183.133,192.168.183.2,49999,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
5.010347,192.168.183.133,192.168.183.2,59294,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
