frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.flags.opcode,dns.qry.name,dns.qry.type,response.frame.len,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
0.001348,192.168.183.133,192.168.183.2,57211,53,103,0,api.0c3a7116.2f195fb2.ns1.ssltestdomain.xyz,A,119,0.0.0.0,,,0.0
10.013999,192.168.183.133,192.168.183.2,55104,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
10.012005,192.168.183.133,192.168.183.2,55120,53,90,0,2f195fb2.ns1.ssltestdomain.xyz,A,106,74.125.196.130,,,0.0
0.001106,192.168.183.133,192.168.183.2,55690,53,108,0,www.180.031b46f78.2f195fb2.ns1.ssltestdomain.xyz,A,124,74.125.196.113,,,0.0
0.00149,192.168.183.133,192.168.183.2,59837,53,276,0,www.36d1b299763f37592ee17fea0b653aab7fc21871a417a1bb72ff7adb8.d175fcee359f6f862fc0fcc9a709cede8dbb3877b29279de0e1f5a82.9fea09676f15230a8fedfc9c8356c11136e12829499daafdecf6fd5e.131b46f78.2f195fb2.ns1.ssltestdomain.xyz,A,292,74.125.196.113,,,0.0
0.000987,192.168.183.133,192.168.183.2,61595,53,187,0,www.2f2ff8227173e648f460cdbeaa06376d3b72b77cd.0d0017817c39ed603052f5fe2ed2a139294c0cde.231b46f78.2f195fb2.ns1.ssltestdomain.xyz,A,203,74.125.196.113,,,0.0
0.001137,192.168.183.133,192.168.183.2,59418,53,114,0,www.1a58deb48.331b46f78.2f195fb2.ns1.ssltestdomain.xyz,A,130,74.125.196.113,,,0.0
0.001131,192.168.183.133,192.168.183.2,62206,53,103,0,api.0fc958ab.2f195fb2.ns1.ssltestdomain.xyz,A,119,0.0.0.0,,,0.0
10.012169,192.168.183.133,192.168.183.2,52979,53,90,0,2f195fb2.ns2.ssltestdomain.xyz,A,106,74.125.196.113,,,0.0
